Fecha,Festivo,Zona_de_Carga
10/05/2016,Dia De La Madre,SAN LUIS POTOSI
10/05/2016,Dia De La Madre,ZACATECAS
16/09/2016,Dia De La Independencia,FRESNILLO
16/09/2016,Dia De La Independencia,MANZANILLO
16/09/2016,Dia De La Independencia,CELAYA
16/09/2016,Dia De La Independencia,IRAPUATO
16/09/2016,Dia De La Independencia,LEON
16/09/2016,Dia De La Independencia,SALVATIERRA
16/09/2016,Dia De La Independencia,IXIMIQUILPAN
16/09/2016,Dia De La Independencia,CIENEGA
16/09/2016,Dia De La Independencia,GUADALAJARA
16/09/2016,Dia De La Independencia,JIQUILPAN
16/09/2016,Dia De La Independencia,LOS ALTOS 
16/09/2016,Dia De La Independencia,ZAPOTLAN
16/09/2016,Dia De La Independencia,APATZINGAN
16/09/2016,Dia De La Independencia,MORELIA
16/09/2016,Dia De La Independencia,URUAPAN
16/09/2016,Dia De La Independencia,ZACAPU
16/09/2016,Dia De La Independencia,ZAMORA
16/09/2016,Dia De La Independencia,TEPIC VALLARTA 
16/09/2016,Dia De La Independencia,SAN JUAN DEL RIO
16/09/2016,Dia De La Independencia,MATEHUALA
16/09/2016,Dia De La Independencia,MINAS
16/09/2016,Dia De La Independencia,AGUASCALIENTES
16/09/2016,Dia De La Independencia,COLIMA 
16/09/2016,Dia De La Independencia,QUERETARO
16/09/2016,Dia De La Independencia,SAN LUIS POTOSI
16/09/2016,Dia De La Independencia,ZACATECAS
12/10/2016,Dia De La Virgen De Zapopan,GUADALAJARA
02/11/2016,Dia De Los Muertos,FRESNILLO
02/11/2016,Dia De Los Muertos,MANZANILLO
02/11/2016,Dia De Los Muertos,CELAYA
02/11/2016,Dia De Los Muertos,IRAPUATO
02/11/2016,Dia De Los Muertos,LEON
02/11/2016,Dia De Los Muertos,SALVATIERRA
02/11/2016,Dia De Los Muertos,IXIMIQUILPAN
02/11/2016,Dia De Los Muertos,CIENEGA
02/11/2016,Dia De Los Muertos,GUADALAJARA
02/11/2016,Dia De Los Muertos,JIQUILPAN
02/11/2016,Dia De Los Muertos,LOS ALTOS 
02/11/2016,Dia De Los Muertos,ZAPOTLAN
02/11/2016,Dia De Los Muertos,APATZINGAN
02/11/2016,Dia De Los Muertos,MORELIA
02/11/2016,Dia De Los Muertos,URUAPAN
02/11/2016,Dia De Los Muertos,ZACAPU
02/11/2016,Dia De Los Muertos,ZAMORA
02/11/2016,Dia De Los Muertos,TEPIC VALLARTA 
02/11/2016,Dia De Los Muertos,SAN JUAN DEL RIO
02/11/2016,Dia De Los Muertos,MATEHUALA
02/11/2016,Dia De Los Muertos,MINAS
02/11/2016,Dia De Los Muertos,AGUASCALIENTES
02/11/2016,Dia De Los Muertos,COLIMA 
02/11/2016,Dia De Los Muertos,QUERETARO
02/11/2016,Dia De Los Muertos,SAN LUIS POTOSI
02/11/2016,Dia De Los Muertos,ZACATECAS
21/11/2016,Dia De La Revolucion,FRESNILLO
21/11/2016,Dia De La Revolucion,MANZANILLO
21/11/2016,Dia De La Revolucion,CELAYA
21/11/2016,Dia De La Revolucion,IRAPUATO
